userID,cond,trialNo,userPred,truePred,valQuality,valProductivity,valPunctuality,valFeedback
30615574,o-cfe,1,N,Y,H,L,H,H
30615574,o-cfe,0,N,Y,H,H,H,H
30615574,o-cfe,5,Y,Y,H,L,L,H
30615574,o-cfe,4,N,Y,H,H,L,H
30615574,o-cfe,9,Y,Y,H,L,H,L
30615574,o-cfe,2,N,Y,L,H,H,H
30615574,o-cfe,15,N,N,L,L,L,L
30615574,o-cfe,11,N,N,L,L,H,L
30615574,o-cfe,10,N,N,L,H,H,L
30615574,o-cfe,13,N,N,H,L,L,L
98023837,o-con,10,Y,N,L,H,L,H
98023837,o-con,14,Y,N,L,H,L,L
98023837,o-con,8,Y,Y,L,H,H,H
98023837,o-con,12,Y,N,L,H,H,L
98023837,o-con,5,Y,Y,H,L,H,L
98023837,o-con,9,Y,Y,L,L,H,H
98023837,o-con,3,Y,Y,H,L,L,H
98023837,o-con,1,N,Y,H,L,H,H
98023837,o-con,4,Y,Y,H,H,H,L
98023837,o-con,11,N,N,L,L,L,H
98023837,o-con,6,N,N,H,H,L,L
98023837,o-con,0,N,Y,H,H,H,H
98023837,o-con,7,N,N,H,L,L,L
98023837,o-con,13,N,N,L,L,H,L
98023837,o-con,15,N,N,L,L,L,L
98023837,o-con,2,N,Y,H,H,L,H
67305654,o-con,7,Y,N,L,H,L,L
67305654,o-con,14,Y,N,H,L,L,L
67305654,o-con,11,Y,N,L,L,H,L
67305654,o-con,5,Y,Y,L,H,L,H
67305654,o-con,4,Y,Y,H,H,L,H
67305654,o-con,0,N,Y,H,H,H,H
67305654,o-con,2,Y,Y,H,H,H,L
67305654,o-con,13,N,N,L,L,L,H
67305654,o-con,15,Y,N,L,L,L,L
67305654,o-con,8,N,Y,H,L,H,H
67305654,o-con,6,Y,N,H,H,L,L
67305654,o-con,9,N,Y,L,L,H,H
67305654,o-con,12,N,N,H,L,L,H
67305654,o-con,10,N,N,H,L,H,L
67305654,o-con,3,N,Y,L,H,H,L
67305654,o-con,1,N,Y,L,H,H,H
97999152,s-con,10,Y,N,H,L,H,L
97999152,s-con,2,Y,Y,H,H,H,L
97999152,s-con,12,Y,N,L,L,H,H
97999152,s-con,0,N,Y,H,H,H,H
97999152,s-con,4,Y,Y,L,H,H,H
97999152,s-con,5,N,Y,L,H,L,H
97999152,s-con,11,Y,N,H,L,L,L
97999152,s-con,6,N,N,L,H,H,L
97999152,s-con,8,N,Y,H,L,H,H
97999152,s-con,3,N,Y,H,H,L,L
97999152,s-con,15,N,N,L,L,L,L
97999152,s-con,14,N,N,L,L,H,L
97999152,s-con,13,N,N,L,L,L,H
97999152,s-con,1,N,Y,H,H,L,H
97999152,s-con,7,N,N,L,H,L,L
97999152,s-con,9,N,Y,H,L,L,H
54931353,s-con,8,Y,Y,H,H,H,L
54931353,s-con,7,Y,N,L,L,L,H
54931353,s-con,14,N,N,H,L,L,L
54931353,s-con,11,N,N,L,L,H,L
54931353,s-con,10,Y,N,H,L,H,L
54931353,s-con,2,Y,Y,H,L,H,H
54931353,s-con,0,N,Y,H,H,H,H
54931353,s-con,3,N,Y,L,L,H,H
54931353,s-con,15,N,N,L,L,L,L
54931353,s-con,6,N,N,H,L,L,H
54931353,s-con,12,Y,N,H,H,L,L
54931353,s-con,4,N,Y,H,H,L,H
54931353,s-con,1,Y,Y,L,H,H,H
54931353,s-con,5,N,Y,L,H,L,H
54931353,s-con,13,N,N,L,H,L,L
54931353,s-con,9,N,Y,L,H,H,L
46338593,s-con,12,Y,N,L,H,H,L
46338593,s-con,0,Y,Y,H,H,H,H
46338593,s-con,7,Y,N,L,L,L,H
46338593,s-con,6,Y,N,L,L,H,H
46338593,s-con,15,Y,N,L,L,L,L
46338593,s-con,4,Y,Y,L,H,H,H
46338593,s-con,8,Y,Y,H,H,H,L
46338593,s-con,5,N,Y,L,H,L,H
46338593,s-con,10,Y,N,H,L,H,L
46338593,s-con,2,N,Y,H,L,H,H
46338593,s-con,13,N,N,L,H,L,L
46338593,s-con,1,N,Y,H,H,L,H
46338593,s-con,3,N,Y,H,L,L,H
46338593,s-con,14,N,N,L,L,H,L
46338593,s-con,9,N,Y,H,H,L,L
46338593,s-con,11,N,N,H,L,L,L
76718928,s-cfe,7,Y,N,L,L,H,L
76718928,s-cfe,1,Y,Y,H,L,H,H
76718928,s-cfe,9,Y,Y,H,L,L,H
76718928,s-cfe,12,Y,N,H,H,L,L
76718928,s-cfe,10,Y,N,L,H,L,H
76718928,s-cfe,14,N,N,L,H,L,L
76718928,s-cfe,4,N,Y,H,H,H,L
76718928,s-cfe,0,N,Y,H,H,H,H
76718928,s-cfe,2,Y,Y,L,H,H,H
76718928,s-cfe,11,Y,N,L,L,L,H
76718928,s-cfe,6,Y,N,L,H,H,L
76718928,s-cfe,3,N,Y,L,L,H,H
76718928,s-cfe,13,Y,N,H,L,L,L
76718928,s-cfe,8,N,Y,H,H,L,H
76718928,s-cfe,5,N,Y,H,L,H,L
76718928,s-cfe,15,N,N,L,L,L,L
64170647,o-con,13,Y,N,H,L,L,L
64170647,o-con,6,Y,N,L,H,L,H
64170647,o-con,0,Y,Y,H,H,H,H
64170647,o-con,12,Y,N,H,L,L,H
64170647,o-con,14,Y,N,L,L,L,H
64170647,o-con,3,N,Y,L,H,H,L
64170647,o-con,4,N,Y,H,H,L,H
64170647,o-con,10,Y,N,L,L,H,H
64170647,o-con,9,Y,Y,H,L,H,L
64170647,o-con,2,Y,Y,L,H,H,H
64170647,o-con,7,N,N,L,H,L,L
64170647,o-con,1,N,Y,H,H,H,L
64170647,o-con,15,N,N,L,L,L,L
64170647,o-con,8,Y,Y,H,L,H,H
64170647,o-con,5,N,Y,H,H,L,L
64170647,o-con,11,N,N,L,L,H,L
54358270,o-cfe,14,Y,N,L,H,L,L
54358270,o-cfe,13,Y,N,L,L,H,L
54358270,o-cfe,0,Y,Y,H,H,H,H
54358270,o-cfe,15,N,N,L,L,L,L
54358270,o-cfe,9,Y,Y,H,L,H,L
54358270,o-cfe,12,N,N,L,H,H,L
54358270,o-cfe,1,N,Y,H,L,H,H
54358270,o-cfe,7,N,N,L,L,L,H
54358270,o-cfe,8,Y,Y,H,H,H,L
54358270,o-cfe,10,N,N,H,H,L,L
54358270,o-cfe,6,N,N,L,H,L,H
54358270,o-cfe,3,N,Y,H,L,L,H
54358270,o-cfe,2,N,Y,H,H,L,H
54358270,o-cfe,4,N,Y,L,H,H,H
54358270,o-cfe,5,N,Y,L,L,H,H
54358270,o-cfe,11,N,N,H,L,L,L
67780982,o-cfe,9,Y,Y,H,L,H,L
67780982,o-cfe,14,Y,N,L,H,L,L
67780982,o-cfe,8,Y,Y,H,H,H,L
67780982,o-cfe,6,Y,N,L,H,L,H
67780982,o-cfe,11,Y,N,H,L,L,L
67780982,o-cfe,10,Y,N,H,H,L,L
67780982,o-cfe,15,N,N,L,L,L,L
67780982,o-cfe,12,N,N,L,H,H,L
67780982,o-cfe,3,Y,Y,H,L,L,H
67780982,o-cfe,13,N,N,L,L,H,L
67780982,o-cfe,7,N,N,L,L,L,H
67780982,o-cfe,0,N,Y,H,H,H,H
67780982,o-cfe,1,N,Y,H,L,H,H
67780982,o-cfe,5,N,Y,L,L,H,H
67780982,o-cfe,4,N,Y,L,H,H,H
67780982,o-cfe,2,N,Y,H,H,L,H
51151915,o-cfe,5,Y,Y,L,H,L,H
51151915,o-cfe,2,Y,Y,H,H,H,L
51151915,o-cfe,8,Y,Y,H,L,H,H
51151915,o-cfe,0,Y,Y,H,H,H,H
51151915,o-cfe,6,Y,N,L,H,H,L
51151915,o-cfe,11,N,N,H,L,L,L
51151915,o-cfe,12,N,N,L,L,H,H
51151915,o-cfe,7,N,N,L,H,L,L
51151915,o-cfe,3,N,Y,H,H,L,L
51151915,o-cfe,1,Y,Y,H,H,L,H
51151915,o-cfe,9,N,Y,H,L,L,H
51151915,o-cfe,4,N,Y,L,H,H,H
51151915,o-cfe,15,N,N,L,L,L,L
51151915,o-cfe,13,N,N,L,L,L,H
51151915,o-cfe,14,N,N,L,L,H,L
51151915,o-cfe,10,N,N,H,L,H,L
78121420,o-cfe,8,Y,Y,H,H,H,L
78121420,o-cfe,2,Y,Y,L,H,H,H
78121420,o-cfe,14,Y,N,L,H,L,L
78121420,o-cfe,9,Y,Y,H,L,H,L
78121420,o-cfe,15,Y,N,L,L,L,L
78121420,o-cfe,13,Y,N,H,L,L,L
78121420,o-cfe,7,Y,N,L,L,L,H
78121420,o-cfe,12,N,N,H,H,L,L
78121420,o-cfe,5,N,Y,H,L,L,H
78121420,o-cfe,10,N,N,L,H,H,L
78121420,o-cfe,3,Y,Y,L,L,H,H
78121420,o-cfe,4,N,Y,H,H,L,H
78121420,o-cfe,6,Y,N,L,H,L,H
78121420,o-cfe,11,N,N,L,L,H,L
78121420,o-cfe,1,N,Y,H,L,H,H
78121420,o-cfe,0,N,Y,H,H,H,H
58425147,s-cfe,14,Y,N,L,L,L,H
58425147,s-cfe,1,Y,Y,H,H,H,L
58425147,s-cfe,12,Y,N,H,L,L,H
58425147,s-cfe,15,Y,N,L,L,L,L
58425147,s-cfe,11,Y,N,L,L,H,L
58425147,s-cfe,13,Y,N,H,L,L,L
58425147,s-cfe,10,Y,N,L,L,H,H
58425147,s-cfe,3,N,Y,L,H,H,L
58425147,s-cfe,4,Y,Y,H,H,L,H
58425147,s-cfe,6,Y,N,L,H,L,H
58425147,s-cfe,8,N,Y,H,L,H,H
58425147,s-cfe,7,N,N,L,H,L,L
58425147,s-cfe,2,N,Y,L,H,H,H
58425147,s-cfe,9,N,Y,H,L,H,L
58425147,s-cfe,0,N,Y,H,H,H,H
58425147,s-cfe,5,N,Y,H,H,L,L
49035542,o-con,14,Y,N,L,L,L,H
49035542,o-con,5,Y,Y,H,H,L,L
49035542,o-con,0,Y,Y,H,H,H,H
49035542,o-con,15,Y,N,L,L,L,L
49035542,o-con,11,Y,N,L,L,H,L
49035542,o-con,12,N,N,H,L,L,H
49035542,o-con,7,Y,N,L,H,L,L
49035542,o-con,8,N,Y,H,L,H,H
49035542,o-con,6,Y,N,L,H,L,H
49035542,o-con,1,N,Y,H,H,H,L
49035542,o-con,4,Y,Y,H,H,L,H
49035542,o-con,13,N,N,H,L,L,L
49035542,o-con,10,N,N,L,L,H,H
49035542,o-con,9,N,Y,H,L,H,L
49035542,o-con,2,N,Y,L,H,H,H
49035542,o-con,3,N,Y,L,H,H,L
06774489,s-cfe,5,Y,Y,L,H,L,H
06774489,s-cfe,7,Y,N,L,H,L,L
06774489,s-cfe,9,Y,Y,H,L,L,H
06774489,s-cfe,8,N,Y,H,L,H,H
06774489,s-cfe,11,Y,N,H,L,L,L
06774489,s-cfe,15,N,N,L,L,L,L
06774489,s-cfe,13,N,N,L,L,L,H
06774489,s-cfe,0,N,Y,H,H,H,H
06774489,s-cfe,6,Y,N,L,H,H,L
06774489,s-cfe,4,Y,Y,L,H,H,H
06774489,s-cfe,2,N,Y,H,H,H,L
06774489,s-cfe,1,N,Y,H,H,L,H
06774489,s-cfe,14,N,N,L,L,H,L
06774489,s-cfe,12,N,N,L,L,H,H
06774489,s-cfe,3,N,Y,H,H,L,L
06774489,s-cfe,10,N,N,H,L,H,L
84738400,o-con,6,Y,N,H,L,L,H
84738400,o-con,11,Y,N,L,L,H,L
84738400,o-con,9,Y,Y,L,H,H,L
84738400,o-con,8,Y,Y,H,H,H,L
84738400,o-con,14,Y,N,H,L,L,L
84738400,o-con,4,N,Y,H,H,L,H
84738400,o-con,10,N,N,H,L,H,L
84738400,o-con,2,N,Y,H,L,H,H
84738400,o-con,12,N,N,H,H,L,L
84738400,o-con,15,N,N,L,L,L,L
84738400,o-con,5,N,Y,L,H,L,H
84738400,o-con,0,N,Y,H,H,H,H
84738400,o-con,7,N,N,L,L,L,H
84738400,o-con,3,N,Y,L,L,H,H
84738400,o-con,13,N,N,L,H,L,L
84738400,o-con,1,N,Y,L,H,H,H
29622415,o-con,8,Y,Y,H,L,H,H
29622415,o-con,5,Y,Y,L,H,L,H
29622415,o-con,2,Y,Y,H,H,H,L
29622415,o-con,3,N,Y,H,H,L,L
29622415,o-con,7,Y,N,L,H,L,L
29622415,o-con,9,N,Y,H,L,L,H
29622415,o-con,0,Y,Y,H,H,H,H
29622415,o-con,13,N,N,L,L,L,H
29622415,o-con,14,Y,N,L,L,H,L
29622415,o-con,15,Y,N,L,L,L,L
29622415,o-con,4,Y,Y,L,H,H,H
29622415,o-con,1,N,Y,H,H,L,H
29622415,o-con,12,Y,N,L,L,H,H
29622415,o-con,11,N,N,H,L,L,L
29622415,o-con,6,N,N,L,H,H,L
29622415,o-con,10,N,N,H,L,H,L
84182349,o-con,6,Y,N,L,L,H,H
84182349,o-con,12,Y,N,L,H,L,H
84182349,o-con,8,Y,Y,H,H,L,H
84182349,o-con,10,Y,N,H,L,L,H
84182349,o-con,4,N,Y,L,H,H,H
84182349,o-con,11,Y,N,H,L,L,L
84182349,o-con,13,Y,N,L,H,L,L
84182349,o-con,14,Y,N,L,L,L,H
84182349,o-con,9,N,Y,H,H,L,L
84182349,o-con,15,Y,N,L,L,L,L
84182349,o-con,0,Y,Y,H,H,H,H
84182349,o-con,2,N,Y,H,L,H,H
84182349,o-con,3,Y,Y,H,L,H,L
84182349,o-con,5,N,Y,L,H,H,L
84182349,o-con,1,Y,Y,H,H,H,L
84182349,o-con,7,Y,N,L,L,H,L
16812208,o-cfe,5,Y,Y,H,L,L,H
16812208,o-cfe,4,Y,Y,H,L,H,H
16812208,o-cfe,8,Y,Y,H,H,H,L
16812208,o-cfe,10,Y,N,L,H,H,L
16812208,o-cfe,14,Y,N,L,L,H,L
16812208,o-cfe,13,N,N,H,L,L,L
16812208,o-cfe,2,N,Y,L,H,H,H
16812208,o-cfe,1,N,Y,H,H,L,H
16812208,o-cfe,6,Y,N,L,L,H,H
16812208,o-cfe,12,Y,N,H,L,H,L
16812208,o-cfe,11,N,N,L,H,L,L
16812208,o-cfe,7,N,N,L,L,L,H
16812208,o-cfe,15,N,N,L,L,L,L
16812208,o-cfe,0,N,Y,H,H,H,H
16812208,o-cfe,9,N,Y,H,H,L,L
16812208,o-cfe,3,N,Y,L,H,L,H
08154976,o-cfe,10,Y,N,L,L,H,H
08154976,o-cfe,5,Y,Y,H,H,L,L
08154976,o-cfe,14,Y,N,L,L,H,L
08154976,o-cfe,0,N,Y,H,H,H,H
08154976,o-cfe,15,Y,N,L,L,L,L
08154976,o-cfe,3,Y,Y,H,L,L,H
08154976,o-cfe,4,Y,Y,H,H,H,L
08154976,o-cfe,2,N,Y,H,L,H,H
08154976,o-cfe,1,Y,Y,H,H,L,H
08154976,o-cfe,9,N,Y,L,H,L,H
08154976,o-cfe,6,N,N,H,L,H,L
08154976,o-cfe,13,N,N,L,H,L,L
08154976,o-cfe,8,N,Y,L,H,H,H
08154976,o-cfe,12,N,N,L,H,H,L
08154976,o-cfe,7,N,N,H,L,L,L
08154976,o-cfe,11,N,N,L,L,L,H
86543440,o-cfe,14,Y,N,L,H,L,L
86543440,o-cfe,4,Y,Y,L,H,H,H
86543440,o-cfe,12,Y,N,L,H,H,L
86543440,o-cfe,15,Y,N,L,L,L,L
86543440,o-cfe,13,Y,N,L,L,H,L
86543440,o-cfe,8,Y,Y,H,H,H,L
86543440,o-cfe,1,Y,Y,H,L,H,H
86543440,o-cfe,7,Y,N,L,L,L,H
86543440,o-cfe,2,Y,Y,H,H,L,H
86543440,o-cfe,3,N,Y,H,L,L,H
86543440,o-cfe,6,Y,N,L,H,L,H
86543440,o-cfe,11,N,N,H,L,L,L
86543440,o-cfe,9,N,Y,H,L,H,L
86543440,o-cfe,10,N,N,H,H,L,L
86543440,o-cfe,5,N,Y,L,L,H,H
86543440,o-cfe,0,N,Y,H,H,H,H
00340497,s-cfe,6,Y,N,H,H,L,L
00340497,s-cfe,13,Y,N,L,L,L,H
00340497,s-cfe,0,Y,Y,H,H,H,H
00340497,s-cfe,7,Y,N,L,H,L,L
00340497,s-cfe,8,Y,Y,H,L,H,H
00340497,s-cfe,12,N,N,H,L,L,H
00340497,s-cfe,9,Y,Y,L,L,H,H
00340497,s-cfe,5,N,Y,L,H,L,H
00340497,s-cfe,2,Y,Y,H,H,H,L
00340497,s-cfe,3,Y,Y,L,H,H,L
00340497,s-cfe,4,Y,Y,H,H,L,H
00340497,s-cfe,1,N,Y,L,H,H,H
00340497,s-cfe,15,N,N,L,L,L,L
00340497,s-cfe,10,N,N,H,L,H,L
00340497,s-cfe,11,N,N,L,L,H,L
00340497,s-cfe,14,N,N,H,L,L,L
81038189,s-con,14,Y,N,L,L,H,L
81038189,s-con,12,Y,N,L,H,H,L
81038189,s-con,6,Y,N,L,L,H,H
81038189,s-con,3,N,Y,H,L,L,H
81038189,s-con,2,Y,Y,H,L,H,H
81038189,s-con,10,N,N,H,L,H,L
81038189,s-con,11,Y,N,H,L,L,L
81038189,s-con,15,N,N,L,L,L,L
81038189,s-con,0,Y,Y,H,H,H,H
81038189,s-con,7,N,N,L,L,L,H
81038189,s-con,13,N,N,L,H,L,L
81038189,s-con,1,N,Y,H,H,L,H
81038189,s-con,9,N,Y,H,H,L,L
81038189,s-con,5,N,Y,L,H,L,H
81038189,s-con,4,N,Y,L,H,H,H
81038189,s-con,8,N,Y,H,H,H,L
51381581,o-cfe,13,Y,N,L,L,L,H
51381581,o-cfe,8,Y,Y,L,H,H,H
51381581,o-cfe,3,Y,Y,H,L,H,L
51381581,o-cfe,12,N,N,L,H,L,H
51381581,o-cfe,0,N,Y,H,H,H,H
51381581,o-cfe,1,Y,Y,H,L,H,H
51381581,o-cfe,2,N,Y,H,H,H,L
51381581,o-cfe,7,Y,N,H,L,L,L
51381581,o-cfe,4,N,Y,H,H,L,H
51381581,o-cfe,10,N,N,L,H,H,L
51381581,o-cfe,15,N,N,L,L,L,L
51381581,o-cfe,11,N,N,L,L,H,L
51381581,o-cfe,14,Y,N,L,H,L,L
51381581,o-cfe,9,N,Y,L,L,H,H
51381581,o-cfe,5,N,Y,H,L,L,H
51381581,o-cfe,6,Y,N,H,H,L,L
34562901,o-cfe,14,Y,N,L,H,L,L
34562901,o-cfe,12,Y,N,H,H,L,L
34562901,o-cfe,6,Y,N,L,H,H,L
34562901,o-cfe,9,Y,Y,H,L,L,H
34562901,o-cfe,8,Y,Y,H,H,L,H
34562901,o-cfe,10,Y,N,L,H,L,H
34562901,o-cfe,4,Y,Y,H,H,H,L
34562901,o-cfe,5,N,Y,H,L,H,L
34562901,o-cfe,2,Y,Y,L,H,H,H
34562901,o-cfe,15,N,N,L,L,L,L
34562901,o-cfe,1,Y,Y,H,L,H,H
34562901,o-cfe,11,N,N,L,L,L,H
34562901,o-cfe,0,N,Y,H,H,H,H
34562901,o-cfe,7,N,N,L,L,H,L
34562901,o-cfe,13,N,N,H,L,L,L
34562901,o-cfe,3,N,Y,L,L,H,H
18325691,o-cfe,11,Y,N,L,L,L,H
18325691,o-cfe,7,Y,N,H,L,L,L
18325691,o-cfe,4,Y,Y,H,H,H,L
18325691,o-cfe,5,Y,Y,H,H,L,L
18325691,o-cfe,10,N,N,L,L,H,H
18325691,o-cfe,14,N,N,L,L,H,L
18325691,o-cfe,3,Y,Y,H,L,L,H
18325691,o-cfe,0,N,Y,H,H,H,H
18325691,o-cfe,13,Y,N,L,H,L,L
18325691,o-cfe,9,Y,Y,L,H,L,H
18325691,o-cfe,8,Y,Y,L,H,H,H
18325691,o-cfe,15,N,N,L,L,L,L
18325691,o-cfe,2,N,Y,H,L,H,H
18325691,o-cfe,1,N,Y,H,H,L,H
18325691,o-cfe,12,Y,N,L,H,H,L
18325691,o-cfe,6,N,N,H,L,H,L
09691408,s-cfe,12,Y,N,L,H,L,H
09691408,s-cfe,11,Y,N,H,L,L,L
09691408,s-cfe,14,Y,N,L,H,L,L
09691408,s-cfe,7,Y,N,L,L,H,L
09691408,s-cfe,1,Y,Y,H,L,H,H
09691408,s-cfe,8,Y,Y,H,H,L,H
09691408,s-cfe,15,Y,N,L,L,L,L
09691408,s-cfe,0,N,Y,H,H,H,H
09691408,s-cfe,9,Y,Y,H,L,L,H
09691408,s-cfe,4,N,Y,L,H,H,H
09691408,s-cfe,2,N,Y,H,H,H,L
09691408,s-cfe,6,N,N,L,H,H,L
09691408,s-cfe,13,N,N,L,L,L,H
09691408,s-cfe,10,N,N,H,H,L,L
09691408,s-cfe,5,N,Y,L,L,H,H
09691408,s-cfe,3,N,Y,H,L,H,L
14682463,o-cfe,14,Y,N,H,L,L,L
14682463,o-cfe,6,Y,N,H,H,L,L
14682463,o-cfe,8,Y,Y,H,L,H,H
14682463,o-cfe,9,N,Y,L,L,H,H
14682463,o-cfe,13,Y,N,L,L,H,L
14682463,o-cfe,1,Y,Y,L,H,H,H
14682463,o-cfe,0,Y,Y,H,H,H,H
14682463,o-cfe,2,N,Y,H,H,L,H
14682463,o-cfe,7,N,N,L,H,L,L
14682463,o-cfe,12,N,N,H,L,H,L
14682463,o-cfe,3,N,Y,L,H,L,H
14682463,o-cfe,4,N,Y,H,H,H,L
14682463,o-cfe,10,Y,N,H,L,L,H
14682463,o-cfe,11,N,N,L,L,L,H
14682463,o-cfe,5,N,Y,L,H,H,L
14682463,o-cfe,15,N,N,L,L,L,L
21300998,o-cfe,9,Y,Y,H,L,H,L
21300998,o-cfe,6,Y,N,L,H,L,H
21300998,o-cfe,2,N,Y,L,H,H,H
21300998,o-cfe,15,N,N,L,L,L,L
21300998,o-cfe,3,N,Y,L,L,H,H
21300998,o-cfe,8,Y,Y,H,H,H,L
21300998,o-cfe,14,Y,N,L,H,L,L
21300998,o-cfe,0,N,Y,H,H,H,H
21300998,o-cfe,12,Y,N,H,H,L,L
21300998,o-cfe,5,Y,Y,H,L,L,H
21300998,o-cfe,11,N,N,L,L,H,L
21300998,o-cfe,7,Y,N,L,L,L,H
21300998,o-cfe,1,Y,Y,H,L,H,H
21300998,o-cfe,4,N,Y,H,H,L,H
21300998,o-cfe,13,N,N,H,L,L,L
21300998,o-cfe,10,N,N,L,H,H,L
78627603,s-cfe,12,Y,N,L,H,H,L
78627603,s-cfe,10,Y,N,L,H,L,H
78627603,s-cfe,2,Y,Y,H,H,L,H
78627603,s-cfe,7,Y,N,H,L,L,L
78627603,s-cfe,3,Y,Y,H,L,L,H
78627603,s-cfe,6,Y,N,H,H,L,L
78627603,s-cfe,5,N,Y,H,L,H,L
78627603,s-cfe,14,N,N,L,H,L,L
78627603,s-cfe,11,Y,N,L,L,L,H
78627603,s-cfe,4,Y,Y,H,H,H,L
78627603,s-cfe,1,N,Y,H,L,H,H
78627603,s-cfe,15,N,N,L,L,L,L
78627603,s-cfe,0,N,Y,H,H,H,H
78627603,s-cfe,13,N,N,L,L,H,L
78627603,s-cfe,8,N,Y,L,H,H,H
78627603,s-cfe,9,N,Y,L,L,H,H
70333690,o-con,12,Y,N,L,H,H,L
70333690,o-con,4,Y,Y,L,H,H,H
70333690,o-con,5,Y,Y,L,L,H,H
70333690,o-con,15,N,N,L,L,L,L
70333690,o-con,6,Y,N,L,H,L,H
70333690,o-con,3,N,Y,H,L,L,H
70333690,o-con,13,Y,N,L,L,H,L
70333690,o-con,11,N,N,H,L,L,L
70333690,o-con,0,Y,Y,H,H,H,H
70333690,o-con,8,Y,Y,H,H,H,L
70333690,o-con,1,N,Y,H,L,H,H
70333690,o-con,9,N,Y,H,L,H,L
70333690,o-con,2,N,Y,H,H,L,H
70333690,o-con,10,N,N,H,H,L,L
70333690,o-con,14,N,N,L,H,L,L
70333690,o-con,7,N,N,L,L,L,H
32227210,o-cfe,10,Y,N,L,L,H,H
32227210,o-cfe,2,Y,Y,L,H,H,H
32227210,o-cfe,4,Y,Y,H,H,L,H
32227210,o-cfe,6,N,N,L,H,L,H
32227210,o-cfe,3,Y,Y,L,H,H,L
32227210,o-cfe,14,N,N,L,L,L,H
32227210,o-cfe,9,Y,Y,H,L,H,L
32227210,o-cfe,0,N,Y,H,H,H,H
32227210,o-cfe,13,Y,N,H,L,L,L
32227210,o-cfe,5,N,Y,H,H,L,L
32227210,o-cfe,8,N,Y,H,L,H,H
32227210,o-cfe,11,N,N,L,L,H,L
32227210,o-cfe,7,N,N,L,H,L,L
32227210,o-cfe,15,N,N,L,L,L,L
32227210,o-cfe,1,N,Y,H,H,H,L
32227210,o-cfe,12,N,N,H,L,L,H
91838742,s-con,12,Y,N,H,L,H,L
91838742,s-con,15,Y,N,L,L,L,L
91838742,s-con,10,Y,N,L,H,H,L
91838742,s-con,0,Y,Y,H,H,H,H
91838742,s-con,11,Y,N,L,H,L,L
91838742,s-con,8,Y,Y,H,H,H,L
91838742,s-con,5,Y,Y,H,L,L,H
91838742,s-con,4,N,Y,H,L,H,H
91838742,s-con,14,Y,N,L,L,H,L
91838742,s-con,2,N,Y,L,H,H,H
91838742,s-con,13,N,N,H,L,L,L
91838742,s-con,7,N,N,L,L,L,H
91838742,s-con,3,N,Y,L,H,L,H
91838742,s-con,6,N,N,L,L,H,H
91838742,s-con,1,N,Y,H,H,L,H
